001: ADC #dd       ADC  A,dd       69H 56H 2 2 cpu3 ;          immediate
002: ADC aa        ADC  A,(aa)     65H 17H 2 3 cpu3 ;          zero page
003: ADC aa,X      ADC  A,(aa+X)   75H 1FH 2 4 6502 ;zero page indexed x
004: ADC aaaa      ADC  A,(aaaa)   6DH 57H 3 4 6502 ;           absolute
005: ADC aaaa,X    ADC  A,(aaaa+X) 7DH 5FH 3 4 6502 ;absolute  indexed x
006: ADC aaaa,Y    ADC  A,(aaaa+Y) 79H 5EH 3 4 6502 ;absolute  indexed y
007: ADC (aa,X)    ADC  A,((aa+X)) 61H 16H 2 6 6502 ; indexed indirect x
008: ADC (aa),Y    ADC  A,((aa)+Y) 71H 1EH 2 5 6502 ; indirect indexed y
009: AND #dd       AND  A,dd       29H 54H 2 2 cpu3 ;          immediate
010: AND aa        AND  A,(aa)     25H 15H 2 3 cpu3 ;          zero page
011: AND aa,X      AND  A,(aa+X)   35H 1DH 2 4 6502 ;zero page indexed x
012: AND aaaa      AND  A,(aaaa)   2DH 55H 3 4 6502 ;           absolute
013: AND aaaa,X    AND  A,(aaaa+X) 3DH 5DH 3 4 6502 ;absolute  indexed x
014: AND aaaa,Y    AND  A,(aaaa+Y) 39H 5CH 3 4 6502 ;absolute  indexed y
015: AND (aa,X)    AND  A,((aa+X)) 21H 14H 2 6 6502 ; indexed indirect x
016: AND (aa),Y    AND  A,((aa)+Y) 31H 1CH 2 5 6502 ; indirect indexed y
017: ASL A         ASL  A          0AH C0H 1 2 6502 ;        accumulator
018: ASL aa        ASL  (aa)       06H 81H 2 5 6502 ;          zero page
019: ASL aa,X      ASL  (aa+X)     16H 89H 2 6 6502 ;zero page indexed x
020: ASL aaaa      ASL  (aaaa)     0EH C1H 3 6 6502 ;           absolute
021: ASL aaaa,X    ASL  (aaaa+X)   1EH C9H 3 7 6502 ;absolute  indexed x
022: BCC ??        JR   NC,??      90H 28H 2 2 cpu3 ;           relative
023: BCS ??        JR   C,??       B0H 38H 2 2 cpu3 ;           relative
024: BEQ ??        JR   Z,??       F0H 3AH 2 2 cpu3 ;           relative
025: BIT aa        BIT  (aa)       24H 11H 2 3 cpu5 ;          zero page
026: BIT aaaa      BIT  (aaaa)     2CH 51H 3 4 cpu5 ;           absolute
027: BMI ??        JR   M,??       30H 18H 2 2 cpu3 ;           relative
028: BNE ??        JR   NZ,??      D0H 2AH 2 2 cpu3 ;           relative
029: BPL ??        JR   P,??       10H 08H 2 2 cpu3 ;           relative
030: BRK           BRK             00H 00H 1 7 cpu3 ;            implied
031: BVC ??        JR   NOV,??     50H 0AH 2 2 cpu3 ;           relative
032: BVS ??        JR   OV,??      70H 1AH 2 2 cpu3 ;           relative
033: CLC           CCF             18H 48H 1 2 cpu3 ;            implied
034: CLD           CDF             D8H 6AH 1 2 6502 ;            implied
035: CLI           EI              58H 4AH 1 2 cpu3 ;            implied
036: CLV           CVF             B8H 78H 1 2 cpu3 ;            implied
037: CMP #dd       CP   A,dd       C9H 66H 2 2 cpu3 ;          immediate
038: CMP aa        CP   A,(aa)     C5H 27H 2 3 cpu3 ;          zero page
039: CMP aa,X      CP   A,(aa+X)   D5H 2FH 2 4 cpu3 ;zero page indexed x
040: CMP aaaa      CP   A,(aaaa)   CDH 67H 3 4 6502 ;           absolute
041: CMP aaaa,X    CP   A,(aaaa+X) DDH 6FH 3 4 6502 ;absolute  indexed x
042: CMP aaaa,Y    CP   A,(aaaa+Y) D9H 6EH 3 4 6502 ;absolute  indexed y
043: CMP (aa,X)    CP   A,((aa+X)) C1H 26H 2 6 6502 ; indexed indirect x
044: CMP (aa),Y    CP   A,((aa)+Y) D1H 2EH 2 5 6502 ; indirect indexed y
045: CPX #dd       CP   X,dd       E0H 32H 2 2 cpu3 ;          immediate
046: CPX aa        CP   X,(aa)     E4H 33H 2 3 cpu3 ;          zero page
047: CPX aaaa      CP   X,(aaaa)   ECH 73H 3 4 6502 ;           absolute
048: CPY #dd       CP   Y,dd       C0H 22H 2 2 6502 ;          immediate
049: CPY aa        CP   Y,(aa)     C4H 23H 2 3 6502 ;          zero page
050: CPY aaaa      CP   Y,(aaaa)   CCH 63H 3 4 6502 ;           absolute
051: DEC aa        DEC  (aa)       C6H A3H 2 5 cpu3 ;          zero page
052: DEC aa,X      DEC  (aa+X)     D6H ABH 2 6 cpu5 ;zero page indexed x
053: DEC aaaa      DEC  (aaaa)     CEH E3H 3 6 6502 ;           absolute
054: DEC aaaa,X    DEC  (aaaa+X)   DEH EBH 3 7 6502 ;absolute  indexed x
055: DEX           DEC  X          CAH E2H 1 2 cpu3 ;            implied
056: DEY           DEC  Y          88H 60H 1 2 6502 ;            implied
057: EOR #dd       XOR  A,dd       49H 46H 2 2 cpu3 ;          immediate
058: EOR aa        XOR  A,(aa)     45H 07H 2 3 cpu3 ;          zero page
059: EOR aa,X      XOR  A,(aa+X)   55H 0FH 2 4 cpu5 ;zero page indexed x
060: EOR aaaa      XOR  A,(aaaa)   4DH 47H 3 4 6502 ;           absolute
061: EOR aaaa,X    XOR  A,(aaaa+X) 5DH 4FH 3 4 6502 ;absolute  indexed x
